
Promedio1,Promedio2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,Viudo,UnionLibre,NumGrado,Edad,Hombre,Mujer,Bajo,Intermedio,Notable,Alto
43.200,41.900,42.900,41.800,42.600,15,15,7,6,8,1 ,2,0,0,1,0,1,0,0,0,0,2,7,1,0,0,0,0,1
32.500,28.900,33.400,32.800,31.900,22,26,22,25,23,1 ,2,0,0,1,0,1,0,0,0,0,2,6,1,0,0,1,0,0
41.100,42.800,44.300,43.700,43.100,5,3,3,3,3,1 ,2,0,0,1,0,1,0,0,0,0,6,12,1,0,0,0,0,1
45.250,45.417,45.917,45.000,45.500,1,1,1,1,1,2 ,2,0,0,1,0,1,0,0,0,0,12,17,0,1,0,0,0,1
37.583,35.917,34.583,35.167,35.917,10,12,20,23,16,1 ,2,0,0,1,0,0,0,0,0,1,9,13,1,0,0,0,1,0
40.300,38.800,38.200,38.750,39.400,12,14,20,15,13,1 ,2,0,0,1,0,0,0,0,0,1,6,10,1,0,0,0,1,0
26.000,31.000,24.000,29.000,28.000,17,12,14,14,12,1 ,2,1,0,0,0,0,0,1,0,0,11,16,1,0,1,0,0,0
35.500,38.583,38.167,38.167,37.750,11,6,5,11,6,1 ,2,0,0,1,0,1,0,0,0,0,12,16,1,0,0,0,1,0
40.091,36.545,37.273,39.091,38.364,6,11,6,7,7,3 ,3,0,0,1,0,1,0,0,0,0,8,13,0,1,0,0,1,0
38.727,41.636,36.091,35.091,38.091,4,2,7,9,5,1 ,2,0,0,1,0,1,0,0,0,0,7,11,1,0,0,0,1,0
35.636,39.455,36.545,37.273,37.455,17,7,15,10,10,2 ,2,0,0,1,0,1,0,0,0,0,7,12,0,1,0,0,1,0
38.500,39.083,37.000,35.417,37.500,6,4,10,18,9,2 ,2,0,0,1,0,0,0,0,0,1,11,14,0,1,0,0,1,0
41.083,39.667,39.583,38.667,39.917,5,5,8,10,5,2 ,2,0,0,1,0,0,0,0,0,1,9,12,0,1,0,0,1,0
36.667,37.667,39.167,38.000,38.000,12,6,6,6,6,2 ,2,0,0,1,0,0,0,0,0,1,12,15,0,1,0,0,1,0
39.500,37.750,39.250,40.167,39.417,3,4,1,2,1,1 ,2,0,0,1,0,0,0,0,0,1,9,14,1,0,0,0,1,0
36.250,33.833,36.000,35.333,35.500,19,22,20,19,19,1 ,2,0,0,1,0,1,0,0,0,0,11,16,0,1,0,0,1,0
33.083,36.000,37.250,36.500,35.750,22,9,11,13,12,1 ,2,0,0,1,0,1,0,0,0,0,10,15,0,1,0,0,1,0
35.818,35.364,29.455,32.182,33.273,16,18,26,25,21,0 ,2,0,0,1,0,0,0,0,0,1,8,14,0,1,0,1,0,0
34.167,38.500,35.167,40.750,37.250,19,8,13,3,10,1 ,2,1,0,0,0,0,0,1,0,0,10,16,0,1,0,0,1,0
36.167,39.667,39.167,36.250,37.917,9,6,6,8,5,1 ,2,1,0,0,0,0,0,1,0,0,9,15,0,1,0,0,1,0
35.273,37.000,37.636,37.818,37.091,15,8,8,8,10,1 ,2,1,0,0,0,0,0,1,0,0,8,14,0,1,0,0,1,0
35.364,33.909,32.091,32.091,33.455,19,21,26,26,23,1 ,2,1,0,0,0,0,0,1,0,0,8,13,0,1,0,1,0,0
36.750,37.583,36.250,39.333,37.583,8,10,14,11,9,1 ,2,1,0,0,0,0,0,1,0,0,12,18,0,1,0,0,1,0
33.545,37.273,36.273,38.000,36.636,18,17,13,10,15,1 ,2,0,1,0,0,0,0,1,0,0,7,11,1,0,0,0,1,0
43.909,42.455,41.545,42.545,42.636,4,2,4,1,3,2 ,2,0,0,1,0,0,0,0,0,1,8,13,0,1,0,0,0,1
41.909,41.364,41.273,42.818,42.000,3,5,5,4,4,2 ,2,0,0,1,0,0,0,0,0,1,8,12,0,1,0,0,0,1
41.909,41.364,41.273,42.818,42.000,3,5,5,4,4,2 ,2,0,0,1,0,0,0,0,0,1,7,12,0,1,0,0,0,1
41.417,42.000,39.667,39.750,40.750,4,6,6,5,5,2 ,3,1,0,0,0,0,0,1,0,0,11,16,0,1,0,0,0,1
35.583,33.167,37.250,37.000,35.667,8,18,4,5,10,1 ,2,1,0,0,0,0,0,1,0,0,10,16,0,1,0,0,1,0
38.000,36.727,37.909,37.545,37.818,16,19,14,10,13,1 ,2,1,0,0,0,0,0,1,0,0,8,13,0,1,0,0,1,0
41.091,40.091,40.364,39.000,40.182,6,6,7,4,6,3 ,2,0,1,0,0,1,0,0,0,0,8,13,0,1,0,0,0,1
39.833,36.500,38.667,38.833,38.417,8,17,7,9,10,3 ,2,0,1,0,0,1,0,0,0,0,7,15,0,1,0,0,1,0
33.667,34.167,35.917,35.667,34.917,18,18,12,17,17,3 ,2,0,1,0,0,0,0,1,0,0,11,17,1,0,0,1,0,0
41.000,39.167,.000,40.417,30.146,5,6,1,6,0,2 ,2,1,0,0,0,0,0,1,0,0,9,14,0,1,0,1,0,0
44.455,40.000,40.182,42.091,41.818,2,8,3,2,2,2 ,2,1,0,0,0,0,0,1,0,0,7,12,0,1,0,0,0,1
44.000,39.500,41.800,42.100,42.100,4,5,4,6,3,3 ,2,0,0,1,0,0,0,0,0,1,3,8,1,0,0,0,0,1
35.250,31.364,.000,34.333,25.237,16,24,1,14,0,2 ,2,0,0,1,0,1,0,0,0,0,9,13,0,1,1,0,0,0
39.909,40.909,38.364,35.909,39.091,9,4,8,11,10,2 ,2,0,0,1,0,1,0,0,0,0,7,11,0,1,0,0,1,0
40.400,40.400,40.400,40.400,40.400,0,0,0,0,10,3 ,2,0,0,1,0,1,0,0,0,0,1,6,1,0,0,0,0,1
42.300,40.800,40.600,41.400,41.500,7,9,8,6,6,3 ,2,0,0,1,0,1,0,0,0,0,4,9,1,0,0,0,0,1
47.583,46.000,.000,47.083,35.167,3,4,1,3,0,1 ,2,0,0,1,0,0,0,0,0,1,9,13,0,1,0,0,1,0
44.500,42.800,45.100,42.800,44.000,1,2,2,3,2,1 ,2,0,0,1,0,0,0,0,0,1,6,10,0,1,0,0,0,1
40.700,39.600,38.200,34.000,38.200,3,5,7,14,7,2 ,2,0,0,1,0,1,0,0,0,0,5,11,0,1,0,0,1,0
42.909,40.091,.000,41.727,31.182,10,13,1,11,0,2 ,2,0,0,1,0,1,0,0,0,0,8,14,0,1,0,1,0,0
40.800,40.400,39.000,34.400,38.900,2,3,5,12,6,2 ,2,0,0,1,0,1,0,0,0,0,5,11,0,1,0,0,1,0
40.500,39.700,40.000,40.100,40.100,10,6,9,7,9,2 ,2,0,0,1,0,1,0,0,0,0,3,9,0,1,0,0,0,1
41.273,38.727,40.455,40.091,40.137,2,6,5,5,0,2 ,2,0,0,1,0,1,0,0,0,0,7,13,0,1,0,0,0,1
36.700,38.500,36.300,36.800,37.200,16,14,18,12,17,1 ,2,0,0,1,0,1,0,0,0,0,9,8,0,1,0,0,1,0
36.700,38.500,36.300,36.800,37.200,16,14,18,12,17,1 ,2,0,0,1,0,1,0,0,0,0,4,8,0,1,0,0,1,0
37.600,37.800,41.500,35.300,38.100,22,25,12,23,24,2 ,2,0,0,1,0,1,0,0,0,0,2,7,1,0,0,0,1,0
35.400,34.500,36.400,33.200,35.000,26,27,28,31,30,2 ,2,0,0,1,0,1,0,0,0,0,6,11,1,0,0,1,0,0
41.300,40.900,39.900,39.900,40.700,5,9,11,13,9,2 ,2,1,0,0,0,0,0,1,0,0,2,6,0,1,0,0,0,1
38.000,36.500,.000,37.583,28.021,15,16,1,15,0,1 ,2,0,0,1,0,0,0,0,0,1,9,14,0,1,1,0,0,0
35.818,33.636,36.909,34.727,35.364,13,19,11,14,12,1 ,2,0,0,1,0,0,0,0,0,1,7,12,0,1,0,0,1,0
38.400,38.400,38.400,38.400,38.400,0,0,0,0,9,0 ,2,1,0,0,0,0,1,0,0,0,1,5,1,0,0,0,1,0
36.300,40.700,46.000,46.100,42.400,20,15,7,7,10,1 ,2,0,0,1,0,0,0,0,0,1,3,7,1,0,0,0,0,1
32.600,37.600,34.700,36.400,35.400,19,12,17,11,11,1 ,2,0,0,1,0,0,0,0,0,1,4,8,1,0,0,0,1,0
34.400,35.900,36.600,36.200,35.900,12,12,11,5,7,1 ,2,0,0,1,0,0,0,0,0,1,5,11,1,0,0,0,1,0
35.100,34.900,33.600,32.700,34.300,19,22,22,22,20,1 ,2,0,0,1,0,0,0,0,0,1,4,9,1,0,0,1,0,0
35.200,35.800,34.500,35.000,35.200,22,21,22,25,24,1 ,2,1,0,0,0,1,0,0,0,0,5,10,1,0,0,0,1,0
34.545,31.909,27.636,30.818,31.273,15,24,28,28,22,2 ,2,1,0,0,0,0,0,0,1,0,7,14,1,0,0,1,0,0
31.455,28.909,28.455,33.273,30.636,27,28,26,24,28,2 ,2,1,0,0,0,0,0,0,1,0,10,14,1,0,0,1,0,0
31.455,28.909,28.455,33.273,30.636,27,28,26,24,28,2 ,2,1,0,0,0,0,0,0,1,0,7,14,1,0,0,1,0,0
38.600,37.100,35.400,38.000,37.500,9,14,20,16,15,1 ,2,1,0,0,0,0,1,0,0,0,3,8,0,1,0,0,1,0
