
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
1 ,43.545,40.636,40.364,41.364,9,12,12,10,10,3 ,2,0,0,1,0,0,0,1,0,0,0,3,7,1,0
1 ,32.545,32.818,33.909,34.545,31,33,26,17,30,3 ,2,0,0,1,0,0,0,1,0,0,0,8,12,1,0
1 ,39.100,37.900,41.400,39.800,10,14,4,6,6,3 ,2,0,0,1,0,0,0,1,0,0,0,4,8,1,0
1 ,32.833,31.833,34.750,33.500,24,24,17,24,20,2 ,2,0,0,1,0,1,0,0,0,0,0,11,15,0,1
4 ,31.167,30.833,37.000,34.667,25,28,17,11,19,2 ,2,0,0,1,0,1,0,0,0,0,0,10,14,0,1
3 ,42.583,39.500,40.083,40.833,3,4,5,5,4,4 ,2,1,0,0,0,0,0,1,0,0,0,9,15,0,1
3 ,40.273,42.455,43.091,42.000,4,5,4,6,6,4 ,2,1,0,0,0,0,0,1,0,0,0,8,14,0,1
2 ,31.100,34.700,35.000,34.200,30,26,23,19,26,3 ,2,0,0,1,0,1,0,0,0,0,0,6,13,1,0
1 ,36.667,38.833,36.917,37.833,8,7,11,6,8,1 ,2,1,0,0,0,0,0,1,0,0,0,10,15,0,1
1 ,44.600,46.300,43.000,44.400,5,3,5,6,4,1 ,2,1,0,0,0,0,0,1,0,0,0,2,7,0,1
2 ,33.545,36.818,39.545,36.455,30,20,10,25,18,1 ,2,1,0,0,0,0,0,1,0,0,0,8,13,0,1
4 ,40.400,42.600,42.400,41.900,9,7,7,8,7,2 ,2,0,0,1,0,0,0,0,1,0,0,6,10,0,1
2 ,32.500,32.083,38.417,34.917,21,19,8,10,16,1 ,2,1,0,0,0,0,0,0,0,1,0,9,14,1,0
1 ,34.091,34.636,34.545,35.727,28,27,25,17,26,1 ,2,1,0,0,0,0,0,0,0,1,0,3,7,1,0
1 ,35.400,36.700,34.700,35.900,16,16,18,18,19,1 ,2,1,0,0,0,0,0,0,0,1,0,4,8,1,0
5 ,30.455,32.000,34.273,32.636,30,28,27,28,29,1 ,3,1,0,0,0,0,1,0,0,0,0,10,11,1,0
1 ,37.700,36.600,36.200,37.000,17,20,23,22,22,1 ,3,1,0,0,0,0,1,0,0,0,0,2,6,1,0
3 ,36.545,31.000,36.727,35.364,22,25,18,22,22,1 ,3,1,0,0,0,0,1,0,0,0,0,7,12,1,0
4 ,30.455,32.000,34.273,32.636,30,28,27,28,29,1 ,3,1,0,0,0,0,1,0,0,0,0,7,11,1,0
3 ,32.083,28.583,.000,.000,16,20,1,16,0,2 ,2,1,0,0,0,0,1,0,0,0,0,11,18,1,0
1 ,39.800,39.000,41.200,40.200,12,17,10,12,12,2 ,2,1,0,0,0,0,1,0,0,0,0,2,7,1,0
